state,total
Alabama,5054255
Alaska,733970
Arizona,7268175
Arkansas,3032650
California,39242785
Colorado,5810775
Connecticut,3598350
Delaware,1005870
Florida,21928880
Georgia,10822590
Hawaii,1445635
Idaho,1893295
Illinois,12692655
Indiana,6811750
Iowa,3195935
Kansas,2937570
Kentucky,4510725
Louisiana,4621025
Maine,1377400
Maryland,6170740
Massachusetts,6992395
Michigan,10051595
Minnesota,5713715
Mississippi,2951440
Missouri,6168180
Montana,1105070
Nebraska,1965925
Nevada,3141000
New Hampshire,1387835
New Jersey,9267015
New Mexico,2114770
New York,19872320
North Carolina,10584340
North Dakota,779360
Ohio,11780045
Oklahoma,3995260
Oregon,4238715
Pennsylvania,12986520
Rhode Island,1095370
South Carolina,5212775
South Dakota,899195
Tennessee,6986080
Texas,29640345
Utah,3331185
Vermont,645255
Virginia,8657500
Washington,7740985
West Virginia,1784460
Wisconsin,5892025
Wyoming,579760
